period,account,output_ngn,intermediate_consumption_ngn,gross_value_added_ngn,compensation_of_employees_ngn,operating_surplus_mixed_income_ngn,basis
Q1_2019,domestic_production,532431538.64,178880000.0,353551538.64,,353551538.64,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2019,domestic_production,652082017.16,208000000.0,444082017.16,,444082017.16,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2019,domestic_production,934841980.67,220480000.0,714361980.67,,714361980.67,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2019,domestic_production,1145711667.45,222560000.0,923151667.45,,923151667.45,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2020,domestic_production,1354940955.67,222560000.0,1132380955.67,,1132380955.67,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2020,domestic_production,1449575643.57,222560000.0,1227015643.57,,1227015643.57,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2020,domestic_production,1734984043.34,222560000.0,1512424043.34,,1512424043.34,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2020,domestic_production,1838142499.61,224640000.0,1613502499.61,,1613502499.61,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2021,domestic_production,2110257537.83,226720000.0,1883537537.83,,1883537537.83,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2021,domestic_production,2424178990.69,226720000.0,2197458990.69,,2197458990.69,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2021,domestic_production,2950405109.66,226720000.0,2723685109.66,,2723685109.66,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2021,domestic_production,4537056078.13,228800000.0,4308256078.13,,4308256078.13,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2022,domestic_production,4731878396.93,230880000.0,4500998396.93,,4500998396.93,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2022,domestic_production,5250840983.33,230880000.0,5019960983.33,,5019960983.33,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2022,domestic_production,6437900978.84,232960000.0,6204940978.84,,6204940978.84,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2022,domestic_production,6984856725.92,239200000.0,6745656725.92,,6745656725.92,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2023,domestic_production,11407074847.2,239200000.0,11167874847.2,,11167874847.2,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2023,domestic_production,12793809696.15,239200000.0,12554609696.15,,12554609696.15,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2023,domestic_production,12334955560.95,239200000.0,12095755560.95,,12095755560.95,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2023,domestic_production,12385419367.65,239200000.0,12146219367.65,,12146219367.65,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2024,domestic_production,27972462257.08,239200000.0,27733262257.08,,27733262257.08,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2024,domestic_production,30398171627.34,239200000.0,30158971627.34,,30158971627.34,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2024,domestic_production,31409571077.06,239200000.0,31170371077.06,,31170371077.06,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
