period,cost_category,num_artists,total_cost_ngn,total_cost_usd,source
Q1_2025,Studio Production,131,196500000,131000.0,NigerianInformer 2025
Q1_2025,Digital Distribution,131,3930000,2620.0,Blisshype 2026
Q1_2025,Web Hosting & CDN,131,6550000,4366.67,Industry estimate
Q1_2025,Promotion & Marketing,131,65500000,43666.67,TaGetMedia 2025
Q1_2025,=== PERIOD TOTAL ===,131,272480000,181653.33,Aggregated
Q2_2025,Studio Production,131,196500000,131000.0,NigerianInformer 2025
Q2_2025,Digital Distribution,131,3930000,2620.0,Blisshype 2026
Q2_2025,Web Hosting & CDN,131,6550000,4366.67,Industry estimate
Q2_2025,Promotion & Marketing,131,65500000,43666.67,TaGetMedia 2025
Q2_2025,=== PERIOD TOTAL ===,131,272480000,181653.33,Aggregated
Q3_2025,Studio Production,131,196500000,131000.0,NigerianInformer 2025
Q3_2025,Digital Distribution,131,3930000,2620.0,Blisshype 2026
Q3_2025,Web Hosting & CDN,131,6550000,4366.67,Industry estimate
Q3_2025,Promotion & Marketing,131,65500000,43666.67,TaGetMedia 2025
Q3_2025,=== PERIOD TOTAL ===,131,272480000,181653.33,Aggregated
Q4_2025,Studio Production,131,196500000,131000.0,NigerianInformer 2025
Q4_2025,Digital Distribution,131,3930000,2620.0,Blisshype 2026
Q4_2025,Web Hosting & CDN,131,6550000,4366.67,Industry estimate
Q4_2025,Promotion & Marketing,131,65500000,43666.67,TaGetMedia 2025
Q4_2025,=== PERIOD TOTAL ===,131,272480000,181653.33,Aggregated
Q1_2026,Studio Production,131,196500000,131000.0,NigerianInformer 2025
Q1_2026,Digital Distribution,131,3930000,2620.0,Blisshype 2026
Q1_2026,Web Hosting & CDN,131,6550000,4366.67,Industry estimate
Q1_2026,Promotion & Marketing,131,65500000,43666.67,TaGetMedia 2025
Q1_2026,=== PERIOD TOTAL ===,131,272480000,181653.33,Aggregated
