id,severity,area,finding,detail,evidence,suspected_cause,proposed_fix,fix_type
D-01,CRITICAL,delivery package,Two contradictory revenue datasets coexist in NBS FINAL delivery/04_Datasets,"Gross_Export_Revenue.csv (5 quarters, 128 artists, fixed 70% split, Flavour duplicated) vs Revenue_By_Platform_Quarterly.csv (31 quarters, 734 artists, observed split). Same quarters diverge 19.9%-36.4%.",_audit/ledger.md; ls -la of 04_Datasets shows 7 files dated Aug 11 vs 21 dated Aug 16-17,NBS FINAL delivery was created as a copy of delivery/; 7 files were never regenerated by any pipeline stage and no script writes them,"Regenerate or remove the orphans; if removed, record in limitations that the Chartmetric-era figures remain available in delivery/ as immutable evidence",correct at source
D-02,CRITICAL,hosted application,Hosted site serves data predating every correction in this work,"Hosted /api/v1/nbs/summary.json: 5 periods, 127 artists, no notes block. Local validated source: 31 periods, 734 artists, notes present. Hosted export figures still use the fixed 70% split.",curl https://nigeria-music-analytics-system-nmas.vercel.app/api/v1/nbs/summary.json,Deployment built from commit c8fef8f; 123 files uncommitted locally,"Gate 2: commit, push, redeploy, then re-verify hosted values against source",propagate
D-03,HIGH,hosting configuration,SPA rewrite masks missing API artifacts as HTTP 200 HTML,"vercel.json rewrites /(.*) to /index.html, so /api/v1/console/THIS-DOES-NOT-EXIST.json returns HTTP 200 with content-type text/html. A missing or mistyped data artifact is indistinguishable from a present one at the HTTP layer.",curl -o /dev/null -w %{http_code} on a nonexistent artifact returns 200; content-type text/html,Catch-all rewrite has no exclusion for /api/,Exclude /api/ from the SPA rewrite so missing artifacts return a real 404,correct at source
D-04,HIGH,Excel deliverables,3_Employment_Male_Female.xlsx is stale and has no cover/metadata sheet,"Dated Aug 11, not regenerated by build_all_excel.py, carries no provenance sheet while the other eight workbooks do.",_audit/validation/workbook_audit.csv,Employment data comes from external secondary sources and has no generator script,"Either write a generator, or mark the workbook explicitly as externally sourced with a cover sheet stating provenance and vintage",correct at source
D-05,MEDIUM,Excel deliverables,Numeric cells largely carry General number format,"22 sheets have >90% of numeric cells in General format; currency, counts and percentages are not visually distinguished and thousands separators are absent.",_audit/validation/workbook_audit.csv,build_all_excel.py styles headers but sets no number_format on data cells,Apply number formats by metric class in the builder,correct at source
D-06,LOW,Excel deliverables,"Autofilter, print area, freeze panes and numeral alignment missing on most sheets","26 sheets lack autofilter, 26 lack print area, 2 lack freeze panes, 21 have default-aligned numerals.",_audit/validation/workbook_audit.csv,Builder applies these only to some sheets,Apply uniformly in the shared style() helper,correct at source
D-07,MEDIUM,delivery package,Superseded Spotify_City_Geography.csv retained alongside its replacement,"Spotify_City_Geography.csv (319 MB, Spotify NG cities only) is superseded by Geography_Full_Daily.csv.gz and Nigeria_City_Geography_Quarterly.csv but remains in the package.",ls -la NBS FINAL delivery/04_Datasets,"Earlier pipeline stage output, never retired",Retire or explicitly label as superseded in the handbook,propagate
D-08,MEDIUM,documentation,README and methodology describe 31 quarters and 752 artists but predate the full extraction,"NBS FINAL delivery/README.md layout section does not list the 10 datasets added since (Export_Markets, World_City_Geography, Radio_Stations, Artist_Catalogue, Observed_Values_Only, Data_Provenance_Audit, Geography_Full_Daily, Revenue_By_Platform, NBS_Accounts, Cost_By_Category).",NBS FINAL delivery/README.md Layout section vs ls of 04_Datasets,Documentation written before later pipeline stages were added,Regenerate README/handbook from the manifest so it cannot drift,correct at source
D-09,HIGH,frontend,Console panels publish findings contradicted by current data,panels/registry.ts states 'Nine real quarters; the archive floor is the finding' (coverage) and 'One source is integrated' (sources) and ExportFootprint asserts listener geography was never collected. All three are now false.,frontend/src/console/panels/registry.ts; frontend/src/console/panels/ExportFootprint.tsx,Panels authored against the Chartmetric-only delivery,Update the three panels' text and feasibility ratings from the current registers,propagate
D-10,MEDIUM,reproducibility,Employment figures have no generator and no source file in the pipeline,"Employment_Male_Female.csv carries 300,000 direct / 1,000,000 indirect and a 62/38 gender split with no script producing it and no cited primary source in the delivery.",grep for MUSIC_DIRECT_EMPLOYMENT in backend/scripts/nbs_deliverables.py:39-42,Constants embedded in a script that is no longer part of the pipeline,"Classify ASM, register the assumption, cite the secondary source, or withdraw the indicator",document limitation
