path,ext,size_bytes,role,maintenance,note,review_status
_audit/ledger.md,.md,381,audit,generated,audit workspace,pending
firebase.json,.json,243,configuration,hand,project config,pending
vercel.json,.json,272,configuration,hand,project config,pending
NBS FINAL delivery/04_Datasets/Artist_Catalogue_Summary.csv,.csv,90220,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Artist_ID_Crosswalk.csv,.csv,73822,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Artist_Master_List.csv,.csv,4416,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Artist_Residency_Classification.csv,.csv,65840,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Artist_Resolution_Soundcharts.csv,.csv,77050,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Cost_By_Category_Quarterly.csv,.csv,38760,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Coverage_By_Quarter.csv,.csv,81053,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Coverage_Gap_Report.csv,.csv,3492089,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Daily_Metric_Observations.csv,.csv,1044325646,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Daily_Observations_Extended_Frame.csv.gz,.gz,49626030,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Data_Limitations_Report.csv,.csv,784979,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Data_Provenance_Audit.csv,.csv,12910,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Employment_Male_Female.csv,.csv,1848,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Export_Markets_Quarterly.csv,.csv,1028771,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Geography_Full_Daily.csv.gz,.gz,257584371,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Gross_Export_Revenue.csv,.csv,96884,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Gross_Streaming_Revenue.csv,.csv,104505,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Hosting_Production_Costs.csv,.csv,1746,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/NBS_Accounts_Quarterly.csv,.csv,12900,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Nigeria_City_Geography_Quarterly.csv,.csv,150149,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Observed_Values_Only.csv.gz,.gz,79597943,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Platform_Register.csv,.csv,549,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Quarterly_Aggregates_Full.csv,.csv,60188922,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Radio_Stations_Quarterly.csv,.csv,593799,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Revenue_By_Platform_Quarterly.csv,.csv,3223010,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Spotify_City_Geography.csv,.csv,334588003,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/Variable_Register.csv,.csv,7884,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/04_Datasets/World_City_Geography_Quarterly.csv,.csv,11425640,derived artifact,generated,delivered dataset,pending
NBS FINAL delivery/07_Quality_Checks/Duplicates_Removed_Report.csv,.csv,62200345,derived artifact,generated,QA report,pending
NBS FINAL delivery/07_Quality_Checks/Merge_Provenance_Report.md,.md,4602,derived artifact,generated,QA report,pending
NBS FINAL delivery/07_Quality_Checks/Quality_Check_Report.md,.md,1610,derived artifact,generated,QA report,pending
NBS FINAL delivery/07_Quality_Checks/Standardisation_Report.md,.md,1875,derived artifact,generated,QA report,pending
NBS FINAL delivery/07_Quality_Checks/Value_Provenance_Audit.md,.md,2211,derived artifact,generated,QA report,pending
frontend/public/api/v1/console/accounts.json,.json,6736,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/aggregates.json,.json,2316901,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/artists.json,.json,79754,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/coverage.json,.json,50029,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/delivery.json,.json,52922,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/extended-history.json,.json,36592,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/manifest.json,.json,6844,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/observation-summary.json,.json,85195,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/population-frame.json,.json,251818,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/quality.json,.json,22640,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/resolution-audit.json,.json,17070,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/revenue.json,.json,535413,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/run.json,.json,4447,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/console/variables.json,.json,15367,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/costs.json,.json,74582,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2019.json,.json,85428,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2020.json,.json,155140,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2021.json,.json,166577,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2022.json,.json,181075,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2023.json,.json,192293,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2024.json,.json,201474,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2025.json,.json,208691,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q1_2026.json,.json,214424,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2019.json,.json,133223,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2020.json,.json,165948,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2021.json,.json,170723,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2022.json,.json,183501,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2023.json,.json,196866,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2024.json,.json,204125,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2025.json,.json,211449,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q2_2026.json,.json,215458,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2019.json,.json,149413,derived artifact,generated,static API artifact,pending
